frac,exp_name,acc,auc
0.01,rf,0.8291,0.9759206200228384
0.01,xgb,0.8513,0.9859652247914469
0.01,dnn,0.8491,0.9860249426097214
0.01,cnn,0.9018,0.9922435869596523
0.02,rf,0.878,0.9853606197156891
0.02,xgb,0.9007,0.99269016889058
0.02,dnn,0.9033,0.9924308494192736
0.02,cnn,0.9252,0.9963544960772771
0.03,rf,0.9017,0.9888078153554765
0.03,xgb,0.9139,0.9947375236667582
0.03,dnn,0.918,0.9937468693764301
0.03,cnn,0.9327,0.9973097130154023
0.04,rf,0.9061,0.9901918880887128
0.04,xgb,0.9254,0.9957762935671867
0.04,dnn,0.9298,0.9956273996264464
0.04,cnn,0.9498,0.998384946792665
0.05,rf,0.9046,0.9911597289912767
0.05,xgb,0.9273,0.9961212357739762
0.05,dnn,0.9348,0.9960170295789845
0.05,cnn,0.9601,0.9987964215975896
0.06,rf,0.9174,0.9922480277108452
0.06,xgb,0.934,0.9967664328615771
0.06,dnn,0.9384,0.9967576913981987
0.06,cnn,0.9674,0.9992539273066913
0.07,rf,0.9242,0.993564362706364
0.07,xgb,0.9424,0.9972444248885557
0.07,dnn,0.9455,0.9969890411124462
0.07,cnn,0.9639,0.9990410488855136
0.08,rf,0.9277,0.9932145335695648
0.08,xgb,0.9445,0.9975501694862793
0.08,dnn,0.9421,0.996944602723014
0.08,cnn,0.9637,0.999078666714736
0.09,rf,0.9286,0.9940439726961661
0.09,xgb,0.9492,0.9980337019426004
0.09,dnn,0.9514,0.9976826116097398
0.09,cnn,0.9745,0.9994853219291842
0.1,rf,0.9317,0.9947623546260765
0.1,xgb,0.9517,0.9981181504600706
0.1,dnn,0.9522,0.9974522099551594
0.1,cnn,0.9756,0.9995479254848871
0.2,rf,0.9398,0.9957729731492707
0.2,xgb,0.9637,0.9989120075519283
0.2,dnn,0.9645,0.998585063689048
0.2,cnn,0.9829,0.9997949562088551
0.3,rf,0.9494,0.9968199016762903
0.3,xgb,0.9672,0.9992058839854336
0.3,dnn,0.9716,0.9987472810141584
0.3,cnn,0.9855,0.9998730152570654
0.4,rf,0.9552,0.9972301464024322
0.4,xgb,0.9724,0.9994719032384862
0.4,dnn,0.974,0.9991734134401757
0.4,cnn,0.9871,0.999908327496566
0.5,rf,0.9548,0.9974336115281949
0.5,xgb,0.9719,0.9995158652967124
0.5,dnn,0.9751,0.9991459833742781
0.5,cnn,0.988,0.9999053938368486
0.6,rf,0.9566,0.997780673942825
0.6,xgb,0.9746,0.9995133631876212
0.6,dnn,0.9761,0.9993248727417193
0.6,cnn,0.99,0.9999290350081785
0.7,rf,0.9571,0.9979232229812314
0.7,xgb,0.9777,0.9996114950528013
0.7,dnn,0.98,0.9993071003317596
0.7,cnn,0.9889,0.9999297937930383
0.8,rf,0.9599,0.9981630947946271
0.8,xgb,0.9761,0.9995970640642007
0.8,dnn,0.9796,0.999435451321106
0.8,cnn,0.991,0.999944438385092
0.9,rf,0.9614,0.997937375383037
0.9,xgb,0.9777,0.9996754452346205
0.9,dnn,0.9784,0.999175248216753
0.9,cnn,0.9901,0.9999405345317468
0.91,rf,0.964,0.9982430827333165
0.91,xgb,0.9769,0.9996435015025531
0.91,dnn,0.9791,0.9993101637570662
0.91,cnn,0.9904,0.9999501772112811
0.92,rf,0.9629,0.9980819559808423
0.92,xgb,0.9764,0.9996391262872758
0.92,dnn,0.9814,0.9992020587222369
0.92,cnn,0.9903,0.9999484445722138
0.93,rf,0.9622,0.9982477635154533
0.93,xgb,0.9772,0.9996682621670704
0.93,dnn,0.9807,0.999223051648569
0.93,cnn,0.99,0.9999361343883688
0.94,rf,0.9604,0.9977174831306505
0.94,xgb,0.9787,0.999665026105199
0.94,dnn,0.9802,0.9992114755740428
0.94,cnn,0.9907,0.9999517271754519
0.95,rf,0.9632,0.9983278992239735
0.95,xgb,0.977,0.999646600747663
0.95,dnn,0.98,0.9991396514543859
0.95,cnn,0.991,0.9999504469614621
0.96,rf,0.9625,0.9981817034297844
0.96,xgb,0.9777,0.9996756281268375
0.96,dnn,0.98,0.9992812511820598
0.96,cnn,0.9896,0.9999435121992407
0.97,rf,0.9604,0.998248307585561
0.97,xgb,0.9771,0.9996793534174844
0.97,dnn,0.9802,0.9993434546703008
0.97,cnn,0.9918,0.9999426999849585
0.98,rf,0.9641,0.9981956684387834
0.98,xgb,0.9778,0.9996512497233642
0.98,dnn,0.9793,0.9993452545301755
0.98,cnn,0.991,0.999950531332426
0.99,rf,0.9616,0.9983616503920643
0.99,xgb,0.9784,0.9996691197154295
0.99,dnn,0.9804,0.9993208840577887
0.99,cnn,0.9909,0.9999527942221128
1,rf,0.9635,0.9982151911050281
1,xgb,0.9771,0.9996825386425391
1,dnn,0.9821,0.9993388945016052
1,cnn,0.9913,0.9999483975308333
