frac,exp_name,acc,auc
0.01,rf,0.7722,0.9664913888888889
0.01,xgb,0.7847,0.9719998277777778
0.01,dnn,0.7628,0.9689762444444444
0.01,cnn,0.7718,0.9709731888888888
0.02,rf,0.7958,0.9709259222222222
0.02,xgb,0.8136,0.9767477277777777
0.02,dnn,0.803,0.9732799444444444
0.02,cnn,0.7421,0.9735585555555556
0.03,rf,0.8056,0.9752222666666667
0.03,xgb,0.828,0.9810239111111111
0.03,dnn,0.8061,0.9769405055555556
0.03,cnn,0.8057,0.9782592277777777
0.04,rf,0.8106,0.9752260277777778
0.04,xgb,0.8344,0.9825420666666667
0.04,dnn,0.8266,0.9795902666666667
0.04,cnn,0.8156,0.97956695
0.05,rf,0.8166,0.9766700722222222
0.05,xgb,0.8395,0.9833057888888889
0.05,dnn,0.8304,0.9814132166666667
0.05,cnn,0.8234,0.982671111111111
0.06,rf,0.8194,0.97703625
0.06,xgb,0.8451,0.9847036666666666
0.06,dnn,0.7998,0.9799640277777778
0.06,cnn,0.8391,0.9840154111111111
0.07,rf,0.822,0.9789845666666667
0.07,xgb,0.8459,0.9849450333333334
0.07,dnn,0.8346,0.9809625833333333
0.07,cnn,0.8402,0.98383595
0.08,rf,0.8246,0.9780139444444444
0.08,xgb,0.8512,0.9860378111111111
0.08,dnn,0.8345,0.9833405444444444
0.08,cnn,0.8236,0.9845648222222222
0.09,rf,0.8283,0.9792198222222223
0.09,xgb,0.8552,0.9859168722222222
0.09,dnn,0.8361,0.9828284777777778
0.09,cnn,0.8514,0.9861225
0.1,rf,0.8374,0.9799568666666667
0.1,xgb,0.8587,0.9870234833333333
0.1,dnn,0.8374,0.9840919888888889
0.1,cnn,0.8495,0.9866043777777778
0.2,rf,0.8463,0.9819633833333333
0.2,xgb,0.8745,0.9892931111111111
0.2,dnn,0.8577,0.9867917777777778
0.2,cnn,0.8839,0.9909835388888889
0.3,rf,0.8486,0.9837659277777777
0.3,xgb,0.8787,0.9899042
0.3,dnn,0.8642,0.9869463722222223
0.3,cnn,0.8886,0.9920709999999999
0.4,rf,0.8513,0.983405
0.4,xgb,0.8825,0.9908620222222222
0.4,dnn,0.8705,0.9879226722222222
0.4,cnn,0.9028,0.9931639333333333
0.5,rf,0.859,0.9845689
0.5,xgb,0.8868,0.9912513055555555
0.5,dnn,0.8706,0.9885968888888889
0.5,cnn,0.9058,0.9938311555555556
0.6,rf,0.8581,0.9850796111111111
0.6,xgb,0.8888,0.9914458333333334
0.6,dnn,0.8814,0.9887250166666667
0.6,cnn,0.9001,0.9934311833333334
0.7,rf,0.8647,0.9853156944444444
0.7,xgb,0.8933,0.9919946722222223
0.7,dnn,0.8797,0.98923505
0.7,cnn,0.9135,0.9943921833333333
0.8,rf,0.8644,0.98644345
0.8,xgb,0.8937,0.9919976888888888
0.8,dnn,0.8811,0.9894400666666667
0.8,cnn,0.9172,0.9949498944444445
0.9,rf,0.8663,0.9855761111111111
0.9,xgb,0.8954,0.9921277555555555
0.9,dnn,0.8741,0.9892265333333333
0.9,cnn,0.9195,0.9952646722222223
0.91,rf,0.8683,0.9865161777777778
0.91,xgb,0.8963,0.9922212111111111
0.91,dnn,0.8773,0.9892191888888889
0.91,cnn,0.9161,0.9951463111111111
0.92,rf,0.8689,0.9862076222222222
0.92,xgb,0.8971,0.9921266
0.92,dnn,0.8804,0.9896894555555555
0.92,cnn,0.9181,0.99511175
0.93,rf,0.8701,0.9859397055555555
0.93,xgb,0.8956,0.9923563111111111
0.93,dnn,0.8852,0.9895816555555556
0.93,cnn,0.9179,0.9955609722222223
0.94,rf,0.8667,0.98638795
0.94,xgb,0.8965,0.9921256444444444
0.94,dnn,0.8823,0.9893501499999999
0.94,cnn,0.919,0.9952210222222222
0.95,rf,0.8691,0.9869318
0.95,xgb,0.8963,0.99232005
0.95,dnn,0.8821,0.9897070611111112
0.95,cnn,0.9147,0.9951091555555556
0.96,rf,0.8677,0.9864061777777777
0.96,xgb,0.8959,0.9923168888888889
0.96,dnn,0.8826,0.9893527722222222
0.96,cnn,0.9193,0.9950866777777778
0.97,rf,0.8678,0.98580725
0.97,xgb,0.8953,0.9924138055555556
0.97,dnn,0.8803,0.9894659666666666
0.97,cnn,0.9193,0.9953487333333333
0.98,rf,0.8686,0.9863814944444445
0.98,xgb,0.895,0.9923846722222223
0.98,dnn,0.8798,0.9894377777777777
0.98,cnn,0.9156,0.9951953777777778
0.99,rf,0.8694,0.9868328388888888
0.99,xgb,0.8983,0.9924802888888888
0.99,dnn,0.8652,0.9891388166666667
0.99,cnn,0.9171,0.9952093222222222
1,rf,0.8699,0.9871243833333333
1,xgb,0.8977,0.992566988888889
1,dnn,0.8838,0.9900541
1,cnn,0.9183,0.9951529
