frac,exp_name,acc,auc
0,rf,0.8651,0.9862195666666667
0,xgb,0.8969,0.9923703555555555
0,dnn,0.8781,0.9893158611111111
0,cnn,0.9209,0.9954708055555556
0.01,rf,0.8667,0.986283488888889
0.01,xgb,0.894,0.9920192999999999
0.01,dnn,0.8769,0.9880419500000001
0.01,cnn,0.9159,0.9947419277777778
0.02,rf,0.8673,0.9860114222222223
0.02,xgb,0.8929,0.9916479222222222
0.02,dnn,0.8797,0.9868056555555555
0.02,cnn,0.9178,0.9944645666666667
0.03,rf,0.8691,0.9856929555555556
0.03,xgb,0.8912,0.9913791888888889
0.03,dnn,0.8787,0.9856558444444444
0.03,cnn,0.9196,0.9943987555555556
0.04,rf,0.866,0.9852546611111112
0.04,xgb,0.8922,0.9907548944444444
0.04,dnn,0.8787,0.9857366944444445
0.04,cnn,0.919,0.9940521333333333
0.05,rf,0.8665,0.9847826944444444
0.05,xgb,0.8885,0.9902172777777778
0.05,dnn,0.88,0.9845645
0.05,cnn,0.9205,0.9939631444444444
0.06,rf,0.8667,0.9838506888888889
0.06,xgb,0.8879,0.9896080055555556
0.06,dnn,0.8754,0.9839993055555556
0.06,cnn,0.9151,0.9931941111111111
0.07,rf,0.8634,0.9832435055555555
0.07,xgb,0.8892,0.9896165555555556
0.07,dnn,0.8749,0.9833212277777778
0.07,cnn,0.9164,0.993154
0.08,rf,0.8664,0.9835598722222222
0.08,xgb,0.8862,0.9889656333333333
0.08,dnn,0.8802,0.9842162166666667
0.08,cnn,0.9165,0.9928349666666667
0.09,rf,0.8679,0.9830789777777778
0.09,xgb,0.8849,0.9886662333333334
0.09,dnn,0.8735,0.9826322611111111
0.09,cnn,0.9176,0.9924911666666667
0.1,rf,0.8634,0.9819628333333333
0.1,xgb,0.885,0.9880513444444444
0.1,dnn,0.8775,0.9823954500000001
0.1,cnn,0.9164,0.9919548222222222
0.2,rf,0.8512,0.9761499666666666
0.2,xgb,0.8736,0.9834017666666667
0.2,dnn,0.8768,0.9789334555555556
0.2,cnn,0.9117,0.9894017
0.3,rf,0.8085,0.9654192722222222
0.3,xgb,0.8348,0.9751920444444444
0.3,dnn,0.8587,0.9688910555555555
0.3,cnn,0.9051,0.9854017777777777
0.4,rf,0.6783,0.9471310666666667
0.4,xgb,0.7214,0.9609594666666667
0.4,dnn,0.8012,0.9614735222222223
0.4,cnn,0.8403,0.97743085
0.5,rf,0.4586,0.9179768111111111
0.5,xgb,0.4278,0.9257758833333334
0.5,dnn,0.5432,0.9324639888888889
0.5,cnn,0.473,0.9365399722222222
0.6,rf,0.2171,0.8849481722222222
0.6,xgb,0.1744,0.8910785611111112
0.6,dnn,0.2174,0.9054874777777777
0.6,cnn,0.046,0.8910053333333333
0.7,rf,0.0757,0.8519156444444445
0.7,xgb,0.0504,0.8661005666666667
0.7,dnn,0.026,0.8804522166666666
0.7,cnn,0.013,0.8787733611111112
0.8,rf,0.0235,0.8113824666666667
0.8,xgb,0.0178,0.8442966166666667
0.8,dnn,0.0101,0.8588390444444445
0.8,cnn,0.0105,0.8674213
0.9,rf,0.009,0.7249559111111111
0.9,xgb,0.0082,0.81092635
0.9,dnn,0.0091,0.8267917055555556
0.9,cnn,0.0081,0.8466890555555555
0.91,rf,0.0086,0.7098401666666667
0.91,xgb,0.0067,0.8046213666666666
0.91,dnn,0.0073,0.82533715
0.91,cnn,0.0071,0.8489759111111111
0.92,rf,0.008,0.6971769222222223
0.92,xgb,0.0068,0.8003168166666667
0.92,dnn,0.006,0.8136370611111111
0.92,cnn,0.0048,0.8451705777777778
0.93,rf,0.0079,0.6713356666666667
0.93,xgb,0.0066,0.7933222222222223
0.93,dnn,0.0065,0.8025067555555556
0.93,cnn,0.0047,0.8362543666666666
0.94,rf,0.0073,0.6548266833333334
0.94,xgb,0.0067,0.7869602888888889
0.94,dnn,0.0055,0.7916289222222223
0.94,cnn,0.0058,0.8362604111111112
0.95,rf,0.0077,0.6288882888888889
0.95,xgb,0.0063,0.7752212777777778
0.95,dnn,0.0074,0.7944819777777777
0.95,cnn,0.0049,0.8247036222222223
0.96,rf,0.0064,0.59970375
0.96,xgb,0.0064,0.7625780111111111
0.96,dnn,0.0103,0.7623897722222223
0.96,cnn,0.0046,0.8185698111111112
0.97,rf,0.0078,0.5629985944444444
0.97,xgb,0.0066,0.7459096055555555
0.97,dnn,0.0056,0.7368759
0.97,cnn,0.0048,0.8151250777777778
0.98,rf,0.0066,0.5213844333333333
0.98,xgb,0.005,0.7228571388888889
0.98,dnn,0.0075,0.7172445222222222
0.98,cnn,0.0055,0.7905645444444445
0.99,rf,0.0057,0.4682903222222222
0.99,xgb,0.0057,0.6726982833333334
0.99,dnn,0.0077,0.6521872222222223
0.99,cnn,0.0037,0.7313544833333333
