frac,exp_name,acc,auc
0,rf,0.8689,0.9869729722222222
0,xgb,0.8955,0.9924100777777778
0,dnn,0.8844,0.9894055777777777
0,cnn,0.9221,0.9954006222222223
0.01,rf,0.8667,0.9855923722222222
0.01,xgb,0.892,0.9919982888888889
0.01,dnn,0.8819,0.9892304611111111
0.01,cnn,0.92,0.9952267
0.02,rf,0.8674,0.9856884666666667
0.02,xgb,0.8918,0.9916517333333333
0.02,dnn,0.8777,0.9879549444444444
0.02,cnn,0.9221,0.9950225777777778
0.03,rf,0.8662,0.9861235944444444
0.03,xgb,0.8918,0.9915724888888889
0.03,dnn,0.874,0.9868527722222222
0.03,cnn,0.9142,0.9943608
0.04,rf,0.8652,0.98551345
0.04,xgb,0.8904,0.9911557333333333
0.04,dnn,0.8794,0.9880043166666667
0.04,cnn,0.9182,0.9945709
0.05,rf,0.8691,0.9858398111111111
0.05,xgb,0.888,0.9912463888888888
0.05,dnn,0.8796,0.9876837388888888
0.05,cnn,0.9174,0.9947935555555556
0.06,rf,0.8675,0.9850718722222223
0.06,xgb,0.8881,0.9911802777777778
0.06,dnn,0.88,0.9877814888888888
0.06,cnn,0.9139,0.9945400777777778
0.07,rf,0.8672,0.98511565
0.07,xgb,0.8844,0.9906610833333334
0.07,dnn,0.8805,0.9875288055555556
0.07,cnn,0.916,0.9944000111111111
0.08,rf,0.8664,0.9841883611111111
0.08,xgb,0.8847,0.9905386555555555
0.08,dnn,0.8769,0.9862967333333333
0.08,cnn,0.9148,0.9938913166666666
0.09,rf,0.8628,0.9842477666666667
0.09,xgb,0.8825,0.9902892
0.09,dnn,0.877,0.9872577722222222
0.09,cnn,0.9182,0.9941246111111111
0.1,rf,0.8642,0.9839880055555555
0.1,xgb,0.8848,0.9902257888888889
0.1,dnn,0.8772,0.9867231666666667
0.1,cnn,0.9106,0.9937421111111111
0.2,rf,0.8616,0.9808702944444444
0.2,xgb,0.8787,0.9885875
0.2,dnn,0.8709,0.9854739888888888
0.2,cnn,0.9057,0.9924439
0.3,rf,0.8523,0.9768375722222222
0.3,xgb,0.8686,0.9869487222222222
0.3,dnn,0.8704,0.9847174833333333
0.3,cnn,0.9026,0.9909609333333333
0.4,rf,0.8339,0.9684879222222222
0.4,xgb,0.8605,0.9837163444444444
0.4,dnn,0.8559,0.9809102277777778
0.4,cnn,0.8946,0.9895866333333333
0.5,rf,0.8051,0.9587359944444445
0.5,xgb,0.8537,0.9811667000000001
0.5,dnn,0.8441,0.9800197611111111
0.5,cnn,0.8777,0.9850063333333333
0.6,rf,0.7437,0.9343641611111111
0.6,xgb,0.8321,0.9738314833333334
0.6,dnn,0.8286,0.9749830388888889
0.6,cnn,0.8607,0.9792991222222223
0.7,rf,0.6004,0.8825991333333334
0.7,xgb,0.788,0.9575667
0.7,dnn,0.7678,0.963344
0.7,cnn,0.828,0.9694175555555555
0.8,rf,0.3507,0.7551892277777777
0.8,xgb,0.6487,0.9033805444444445
0.8,dnn,0.696,0.9198932833333333
0.8,cnn,0.7143,0.9278446722222222
0.9,rf,0.1019,0.5025195888888889
0.9,xgb,0.0979,0.5068301722222223
0.9,dnn,0.0959,0.5459133388888889
0.9,cnn,0.1035,0.5158252388888889
0.91,rf,0.0826,0.4697276388888889
0.91,xgb,0.0678,0.4194627166666667
0.91,dnn,0.0392,0.39196564444444443
0.91,cnn,0.0396,0.36727585
0.92,rf,0.0722,0.4465324222222222
0.92,xgb,0.0512,0.3428276111111111
0.92,dnn,0.0362,0.4421090222222222
0.92,cnn,0.0485,0.31588693333333334
0.93,rf,0.0534,0.4073037277777778
0.93,xgb,0.0292,0.26058119444444444
0.93,dnn,0.0189,0.34974578333333334
0.93,cnn,0.0126,0.19925069444444446
0.94,rf,0.0436,0.3681564388888889
0.94,xgb,0.0202,0.1959464
0.94,dnn,0.0179,0.20372614444444445
0.94,cnn,0.0092,0.14076945
0.95,rf,0.034,0.3381334388888889
0.95,xgb,0.0162,0.1571519388888889
0.95,dnn,0.0108,0.15234775555555555
0.95,cnn,0.0088,0.13048662222222224
0.96,rf,0.0265,0.3033718722222222
0.96,xgb,0.0127,0.1269207
0.96,dnn,0.0101,0.13306534444444446
0.96,cnn,0.0044,0.08780991666666667
0.97,rf,0.0257,0.2716344722222222
0.97,xgb,0.0109,0.10205925
0.97,dnn,0.0056,0.10450277222222222
0.97,cnn,0.0055,0.08915794444444444
0.98,rf,0.0162,0.23805864444444444
0.98,xgb,0.007,0.07782631111111112
0.98,dnn,0.0069,0.086746966666666675
0.98,cnn,0.0043,0.061640799999999996
0.99,rf,0.0131,0.20518217777777778
0.99,xgb,0.0063,0.06972326666666667
0.99,dnn,0.0033,0.08546367222222222
0.99,cnn,0.0021,0.05001108888888889
